"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5400,-34781.878135,-26016.0601824,301.353242723,63.99040032,0.467511791659
5450,-34895.8318435,-26089.096673,302.759903955,63.99040032,0.467511791659
5500,-34916.3402223,-26147.1096077,301.470563975,63.99040032,0.467511791659
5550,-34799.8956763,-26156.6848443,297.138227809,63.99040032,0.467511791659
5600,-34962.395251,-26088.5863517,305.065779547,63.99040032,0.467511791659
5650,-34825.4120143,-26248.033663,294.875024117,63.99040032,0.467511791659
5700,-35094.5102435,-26209.2968072,305.457847264,63.99040032,0.467511791659
5750,-34787.7598736,-26016.7163307,301.532889229,63.99040032,0.467511791659
5800,-34985.5583567,-26201.4309602,301.98268886,63.99040032,0.467511791659
5850,-35248.4388271,-26368.895526,305.26291809,63.99040032,0.467511791659
5900,-35186.5085296,-26429.5954472,301.047109106,63.99040032,0.467511791659
5950,-35279.5080904,-26555.3774,299.920108731,63.99040032,0.467511791659
6000,-35451.875952,-26670.0622966,301.903146554,63.99040032,0.467511791659
6050,-35264.537617,-26605.6335621,297.677732922,63.99040032,0.467511791659
6100,-35145.539476,-26636.2041328,292.535826424,63.99040032,0.467511791659
6150,-35282.8839561,-26668.7552533,296.138435891,63.99040032,0.467511791659
6200,-35354.7479996,-26747.8616537,295.889456534,63.99040032,0.467511791659
6250,-35523.2741782,-26542.8180171,308.732122873,63.99040032,0.467511791659
6300,-35053.9043491,-26422.5041584,296.732198952,63.99040032,0.467511791659
6350,-35101.6225124,-26357.746821,300.598906777,63.99040032,0.467511791659
6400,-35100.5541914,-26293.2287334,302.780196989,63.99040032,0.467511791659
6450,-35203.7582455,-26360.4924032,304.015763529,63.99040032,0.467511791659
6500,-35078.7752937,-26464.833623,296.132006058,63.99040032,0.467511791659
6550,-35225.0239833,-26612.3323356,296.089032489,63.99040032,0.467511791659
6600,-35086.9461035,-26612.9423189,291.32119023,63.99040032,0.467511791659
6650,-35235.2223103,-26767.4213374,291.107948591,63.99040032,0.467511791659
6700,-35318.8487938,-26621.27403,299.007163169,63.99040032,0.467511791659
6750,-35056.691347,-26506.8720303,293.927593487,63.99040032,0.467511791659
6800,-35263.2261282,-26607.9003234,297.554719043,63.99040032,0.467511791659
6850,-35233.1085483,-26794.5798268,290.101620611,63.99040032,0.467511791659
6900,-35370.5694419,-26729.4383105,297.066731397,63.99040032,0.467511791659
6950,-35288.8453524,-26771.4193344,292.813969447,63.99040032,0.467511791659
7000,-35444.5669211,-26828.7567054,296.196243317,63.99040032,0.467511791659
7050,-35356.4191201,-26892.4236379,290.977122579,63.99040032,0.467511791659
7100,-35325.8980679,-27032.0928813,285.126282679,63.99040032,0.467511791659
7150,-35501.5875058,-26964.0605271,293.505004752,63.99040032,0.467511791659
7200,-35739.3477172,-27016.5241309,299.875172815,63.99040032,0.467511791659
7250,-35696.000188,-27002.4475647,298.868889127,63.99040032,0.467511791659
7300,-35716.513858,-26936.4614313,301.84259864,63.99040032,0.467511791659
7350,-35349.9396257,-26914.7561581,289.986616723,63.99040032,0.467511791659
7400,-35927.5646581,-26951.7417047,308.572841427,63.99040032,0.467511791659
7450,-35491.3840982,-26978.9603109,292.642001643,63.99040032,0.467511791659
7500,-35671.3977071,-27056.5485683,296.1632032,63.99040032,0.467511791659
7550,-35633.7424614,-27078.5121504,294.113613855,63.99040032,0.467511791659
7600,-35695.6575533,-27090.8392126,295.818362188,63.99040032,0.467511791659
7650,-35779.2819966,-27257.6206284,292.959573261,63.99040032,0.467511791659
7700,-35868.3211138,-27188.2001613,298.407132156,63.99040032,0.467511791659
7750,-35924.4341089,-27174.2674075,300.815180521,63.99040032,0.467511791659
7800,-35713.3550893,-27286.9962117,289.683243006,63.99040032,0.467511791659
7850,-35720.1218632,-27347.2044553,287.846020249,63.99040032,0.467511791659
7900,-35697.8796071,-27117.6601367,294.972696747,63.99040032,0.467511791659
7950,-35690.2447148,-27055.8139345,296.836385232,63.99040032,0.467511791659
8000,-35547.7313251,-27084.936148,290.935858226,63.99040032,0.467511791659
8050,-35543.5210464,-26868.2916481,298.238969215,63.99040032,0.467511791659
8100,-35564.4034654,-26998.617776,294.476489005,63.99040032,0.467511791659
8150,-35657.7210074,-26972.4138334,298.585425236,63.99040032,0.467511791659
8200,-35389.5795402,-26852.1056717,293.50317892,63.99040032,0.467511791659
8250,-35411.8732575,-26906.6115253,292.395782917,63.99040032,0.467511791659
8300,-35556.5795982,-27046.0118502,292.578194312,63.99040032,0.467511791659
8350,-35599.3190982,-26947.8850958,297.420925794,63.99040032,0.467511791659
8400,-35933.626933,-27118.3195141,303.054602619,63.99040032,0.467511791659
8450,-35767.105512,-27327.3929743,290.142318106,63.99040032,0.467511791659
8500,-35657.4377487,-27307.669515,287.050192783,63.99040032,0.467511791659
8550,-35715.732056,-27248.5595039,291.086344598,63.99040032,0.467511791659
8600,-35933.5083288,-27248.311685,298.581625403,63.99040032,0.467511791659
8650,-35800.1666254,-27125.21367,298.2294656,63.99040032,0.467511791659
8700,-35712.0509919,-27072.0744907,297.027037265,63.99040032,0.467511791659
8750,-35614.0759513,-26981.4208662,296.77533999,63.99040032,0.467511791659
8800,-35844.2636505,-26936.6259523,306.228753531,63.99040032,0.467511791659
8850,-35500.9589096,-26832.5278955,298.005252851,63.99040032,0.467511791659
8900,-35523.1942522,-26826.4217223,298.979583794,63.99040032,0.467511791659
8950,-35541.4537157,-26832.1104589,299.411743046,63.99040032,0.467511791659
9000,-35697.0622494,-26987.6442249,299.414313423,63.99040032,0.467511791659
9050,-35647.1844984,-26985.9441058,297.75805206,63.99040032,0.467511791659
9100,-35601.0990092,-26922.6409453,298.349965,63.99040032,0.467511791659
9150,-35623.4907968,-26901.4278803,299.849022339,63.99040032,0.467511791659
9200,-35522.8628341,-26817.9219599,299.260396951,63.99040032,0.467511791659
9250,-35448.3580951,-26933.6934452,292.719038519,63.99040032,0.467511791659
9300,-35411.9934395,-26944.1908733,291.108003364,63.99040032,0.467511791659
9350,-35473.7816757,-26859.9292244,296.128938855,63.99040032,0.467511791659
9400,-35395.9278416,-26849.9256098,293.796368891,63.99040032,0.467511791659
9450,-35454.1038138,-26832.5045037,296.395262093,63.99040032,0.467511791659
9500,-35556.6750542,-26743.1827698,302.992201523,63.99040032,0.467511791659
9550,-35180.761632,-26613.8458913,294.515338163,63.99040032,0.467511791659
9600,-35352.9279442,-26609.1043353,300.597116271,63.99040032,0.467511791659
9650,-35798.7704874,-26590.0667,316.578870628,63.99040032,0.467511791659
9700,-35458.2803986,-26588.264991,304.935366043,63.99040032,0.467511791659
9750,-35262.6206108,-26488.6080364,301.634959251,63.99040032,0.467511791659
9800,-35393.3102568,-26543.2466793,304.249457585,63.99040032,0.467511791659
9850,-35542.0557528,-26532.6669054,309.726777211,63.99040032,0.467511791659
9900,-35400.6335455,-26591.7664035,302.833197346,63.99040032,0.467511791659
9950,-35142.826652,-26509.3209338,296.804583245,63.99040032,0.467511791659
10000,-35271.1734323,-26609.7238127,297.765244913,63.99040032,0.467511791659
10050,-35201.2867143,-26539.8349361,297.765319123,63.99040032,0.467511791659
10100,-35035.3653735,-26547.6948526,291.791028339,63.99040032,0.467511791659
10150,-35373.1183367,-26699.2348797,298.192698148,63.99040032,0.467511791659
10200,-35346.0740731,-26728.042706,296.272602555,63.99040032,0.467511791659
10250,-35199.8060098,-26684.0295587,292.757260271,63.99040032,0.467511791659
10300,-35584.4104126,-26814.7472301,301.48543489,63.99040032,0.467511791659
10350,-35430.490035,-26853.4372833,294.863830584,63.99040032,0.467511791659
10400,-35431.5282692,-26796.4137396,296.85989132,63.99040032,0.467511791659
10450,-35244.0458951,-26723.461218,292.922558533,63.99040032,0.467511791659
10500,-35362.0479376,-26711.0387913,297.406319995,63.99040032,0.467511791659
10550,-35541.3277478,-26755.4036161,302.044457425,63.99040032,0.467511791659
10600,-35770.7259734,-26820.480737,307.693524973,63.99040032,0.467511791659
10650,-35369.3132202,-26786.4506685,295.06356118,63.99040032,0.467511791659
10700,-35779.6469958,-26819.7267579,308.026134334,63.99040032,0.467511791659
10750,-35358.3179711,-26780.9182107,294.875760126,63.99040032,0.467511791659
10800,-35458.2309734,-26692.7210042,301.342654798,63.99040032,0.467511791659
10850,-35363.6701487,-26788.3332457,294.804842753,63.99040032,0.467511791659
10900,-35581.7703494,-26778.436652,302.642967354,63.99040032,0.467511791659
10950,-35520.3825412,-26859.71764,297.738267691,63.99040032,0.467511791659
11000,-35747.6651905,-26701.9524748,310.975527247,63.99040032,0.467511791659
11050,-35766.0882746,-26813.2814999,307.781586106,63.99040032,0.467511791659
11100,-35792.9808629,-26919.0770731,305.069041714,63.99040032,0.467511791659
11150,-35741.4173876,-27006.5624504,300.288789274,63.99040032,0.467511791659
11200,-35439.1279067,-27129.1323851,285.682877625,63.99040032,0.467511791659
11250,-35587.1350593,-27006.4945943,294.987169791,63.99040032,0.467511791659
11300,-35528.7337676,-26904.1564521,296.497640627,63.99040032,0.467511791659
11350,-35508.5589471,-26749.7391605,301.112658212,63.99040032,0.467511791659
11400,-35618.9931097,-26784.9492463,303.698728282,63.99040032,0.467511791659
11450,-35690.9139522,-26906.3508614,301.997667259,63.99040032,0.467511791659
11500,-35588.3871833,-26876.4896515,299.49955448,63.99040032,0.467511791659
11550,-35355.5957605,-26871.643203,291.663211364,63.99040032,0.467511791659
11600,-35569.1658956,-26898.8735893,298.069240764,63.99040032,0.467511791659
11650,-35500.3199274,-26958.7243464,293.644876069,63.99040032,0.467511791659
11700,-35816.1991791,-27035.0885168,301.878978902,63.99040032,0.467511791659
11750,-35837.9007338,-27016.285136,303.271466599,63.99040032,0.467511791659
11800,-35849.3326099,-26990.5211383,304.550194636,63.99040032,0.467511791659
11850,-35710.8842583,-26876.728921,303.702560557,63.99040032,0.467511791659
11900,-35747.8988495,-27101.1497908,297.259865753,63.99040032,0.467511791659
11950,-35759.4605743,-27053.3517905,299.30054761,63.99040032,0.467511791659
12000,-35902.579885,-27008.0075031,305.779591177,63.99040032,0.467511791659
12050,-35447.5689175,-26960.6604686,291.764829658,63.99040032,0.467511791659
12100,-35791.9307829,-26927.672825,304.737435156,63.99040032,0.467511791659
12150,-35762.9024365,-26863.4115725,305.948679854,63.99040032,0.467511791659
12200,-35654.8971363,-26776.109123,305.236952639,63.99040032,0.467511791659
12250,-35366.4897318,-26778.8730203,295.227000746,63.99040032,0.467511791659
12300,-35648.2923985,-26930.5595114,299.700163624,63.99040032,0.467511791659
12350,-35745.7845031,-27075.7279284,298.061136734,63.99040032,0.467511791659
12400,-35555.8851218,-26913.2106416,297.119788988,63.99040032,0.467511791659
12450,-35707.9360733,-26967.6829888,300.474367988,63.99040032,0.467511791659
12500,-35500.1796973,-26815.0768105,298.578402201,63.99040032,0.467511791659
12550,-35582.4499404,-26955.8861587,296.565931803,63.99040032,0.467511791659
12600,-35531.8594545,-26912.1896242,296.328930008,63.99040032,0.467511791659
12650,-35530.6255148,-26824.4609791,299.30246426,63.99040032,0.467511791659
12700,-35813.6605632,-26964.6954771,304.211693399,63.99040032,0.467511791659
12750,-35619.7421292,-26966.0112385,297.499888732,63.99040032,0.467511791659
12800,-35729.8150101,-27126.2779934,295.774312545,63.99040032,0.467511791659
12850,-35709.9817457,-27208.3323543,292.271597062,63.99040032,0.467511791659
12900,-35893.8442258,-27252.0285649,297.090264304,63.99040032,0.467511791659
12950,-35951.6975819,-27365.0541842,295.193539947,63.99040032,0.467511791659
13000,-36107.6420027,-27314.821373,302.281546768,63.99040032,0.467511791659
13050,-35801.0347917,-27211.4798348,295.293634177,63.99040032,0.467511791659
13100,-36017.2252019,-27249.2656099,301.426868473,63.99040032,0.467511791659
13150,-35912.1948832,-27197.6704512,299.589862637,63.99040032,0.467511791659
13200,-35871.4019645,-27165.7175032,299.285960155,63.99040032,0.467511791659
13250,-35938.8264104,-27171.2074605,301.415157808,63.99040032,0.467511791659
13300,-35817.9644226,-27129.247307,298.702652964,63.99040032,0.467511791659
13350,-35858.9876902,-27068.5984829,302.197958788,63.99040032,0.467511791659
13400,-35619.9342312,-27065.5533389,294.084412348,63.99040032,0.467511791659
13450,-35844.3473728,-27099.6568189,300.626920301,63.99040032,0.467511791659
13500,-35701.967938,-26990.6114876,299.480953065,63.99040032,0.467511791659
13550,-35679.3143288,-27053.3956239,296.543755211,63.99040032,0.467511791659
13600,-35563.6970859,-27210.975844,287.151711956,63.99040032,0.467511791659
13650,-35967.8124814,-27263.2491668,299.247417126,63.99040032,0.467511791659
13700,-35779.8667315,-27178.2646528,295.707792819,63.99040032,0.467511791659
13750,-35721.7133875,-27264.8834017,290.73078555,63.99040032,0.467511791659
13800,-35851.778521,-27251.6407813,295.657451444,63.99040032,0.467511791659
13850,-35896.108839,-27155.1648028,300.498121678,63.99040032,0.467511791659
13900,-35837.146556,-27232.0140394,295.829162997,63.99040032,0.467511791659
13950,-35880.3276511,-27184.3689777,298.951604851,63.99040032,0.467511791659
14000,-36032.1430304,-27196.3016562,303.76052351,63.99040032,0.467511791659
14050,-36009.7051498,-27158.0870232,304.302900217,63.99040032,0.467511791659
14100,-35785.4911841,-27287.0370774,292.161748852,63.99040032,0.467511791659
14150,-36095.1426569,-27474.5391567,296.36102792,63.99040032,0.467511791659
14200,-36138.4278904,-27504.9951682,296.802073774,63.99040032,0.467511791659
14250,-36142.2847008,-27429.6454417,299.525053744,63.99040032,0.467511791659
14300,-36068.9701147,-27376.6545053,298.826362787,63.99040032,0.467511791659
14350,-36057.4601228,-27323.4756109,300.258865602,63.99040032,0.467511791659
14400,-36077.1813708,-27262.5269236,303.032154612,63.99040032,0.467511791659
14450,-35952.0206892,-27185.8725569,301.364593711,63.99040032,0.467511791659
14500,-35968.663738,-27092.0205785,305.163216376,63.99040032,0.467511791659
14550,-35800.1068348,-27102.3531298,299.013314847,63.99040032,0.467511791659
14600,-35802.4578159,-27154.1130943,297.314721811,63.99040032,0.467511791659
14650,-35738.1279977,-27282.0571324,290.704688336,63.99040032,0.467511791659
14700,-35995.9765372,-27215.8829946,301.844012133,63.99040032,0.467511791659
14750,-35817.5987631,-27113.3975512,299.234968678,63.99040032,0.467511791659
14800,-35862.8360302,-27196.9121322,297.919062653,63.99040032,0.467511791659
14850,-35661.4847012,-27112.7819953,293.88920639,63.99040032,0.467511791659
14900,-35786.0634569,-26923.7560941,304.670377161,63.99040032,0.467511791659
14950,-35738.3719395,-26907.9637243,303.573741159,63.99040032,0.467511791659
15000,-35627.6340609,-26867.7355162,301.149743996,63.99040032,0.467511791659
15050,-35758.674494,-26878.2771794,305.292277559,63.99040032,0.467511791659
15100,-35696.0927148,-26960.2919977,300.321303508,63.99040032,0.467511791659
15150,-35587.9149215,-26914.1039099,298.190207598,63.99040032,0.467511791659
15200,-35647.97284,-26858.3821942,302.170505661,63.99040032,0.467511791659
15250,-35544.8719518,-26883.7506812,297.753956858,63.99040032,0.467511791659
15300,-35599.8588069,-26816.4774947,301.957039807,63.99040032,0.467511791659
15350,-35592.4792364,-26795.0041566,302.441558494,63.99040032,0.467511791659
15400,-35456.550974,-26812.5411622,297.165695317,63.99040032,0.467511791659
15450,-35746.8058023,-26852.9666275,305.754384819,63.99040032,0.467511791659
15500,-35758.9436436,-26928.7361716,303.566839966,63.99040032,0.467511791659
15550,-35772.1594496,-26887.8795278,305.42575469,63.99040032,0.467511791659
15600,-35872.8531984,-27042.5464919,303.57025147,63.99040032,0.467511791659
15650,-35712.6390892,-26994.0209186,299.730598099,63.99040032,0.467511791659
15700,-35611.5110944,-26996.6661711,296.16305828,63.99040032,0.467511791659
15750,-35696.6534184,-27002.9504241,298.874058616,63.99040032,0.467511791659
15800,-35739.99368,-27022.1994925,299.702271024,63.99040032,0.467511791659
15850,-35646.4567749,-27019.4488188,296.581201729,63.99040032,0.467511791659
15900,-35964.2737427,-27124.4999062,303.895714573,63.99040032,0.467511791659
15950,-35884.5464769,-27190.4194242,298.888636988,63.99040032,0.467511791659
16000,-35729.1041737,-27146.442746,295.056646898,63.99040032,0.467511791659
16050,-35809.1450964,-27018.3251297,302.212767529,63.99040032,0.467511791659
16100,-35638.637528,-27024.2010978,296.149015013,63.99040032,0.467511791659
16150,-35785.8749265,-27037.6683274,300.747795685,63.99040032,0.467511791659
16200,-35753.4686332,-27133.8552864,296.326988206,63.99040032,0.467511791659
16250,-36030.6890932,-27196.8280353,303.692443752,63.99040032,0.467511791659
16300,-35802.6096754,-27185.7780114,296.231358896,63.99040032,0.467511791659
16350,-35848.5038969,-27155.8221237,298.83895085,63.99040032,0.467511791659
16400,-35917.3248293,-27186.6601379,300.144736074,63.99040032,0.467511791659
16450,-35809.8938732,-27171.4187414,296.975422853,63.99040032,0.467511791659
16500,-35717.2591559,-27213.871881,292.331342409,63.99040032,0.467511791659
16550,-35868.2844888,-27178.1226529,298.752319881,63.99040032,0.467511791659
16600,-35601.1661798,-26998.04887,295.75988377,63.99040032,0.467511791659
16650,-35813.3466539,-27092.6295651,299.802755176,63.99040032,0.467511791659
16700,-36060.3207838,-27157.0163396,306.079783963,63.99040032,0.467511791659
16750,-36131.1993553,-27231.2014779,305.96611007,63.99040032,0.467511791659
16800,-36106.8674666,-27254.6892879,304.322153815,63.99040032,0.467511791659
16850,-36024.3619388,-27160.7493065,304.715250006,63.99040032,0.467511791659
16900,-35829.1956881,-27262.6371128,294.50305945,63.99040032,0.467511791659
16950,-35871.716713,-27221.7074253,297.371946633,63.99040032,0.467511791659
17000,-35990.5680387,-27202.0484147,302.133685837,63.99040032,0.467511791659
17050,-35859.8058412,-27148.551454,299.477444309,63.99040032,0.467511791659
17100,-36096.8706587,-27322.4989835,301.647304503,63.99040032,0.467511791659
17150,-36089.7353095,-27371.4295489,299.719857997,63.99040032,0.467511791659
17200,-35904.1774642,-27403.2685313,292.246141416,63.99040032,0.467511791659
17250,-36002.8680284,-27472.7820628,293.249195947,63.99040032,0.467511791659
17300,-36198.2547983,-27434.1254442,301.295191704,63.99040032,0.467511791659
17350,-35809.6566939,-27311.7958425,292.14135379,63.99040032,0.467511791659
17400,-35994.4306955,-27489.760963,292.375431022,63.99040032,0.467511791659
17450,-36000.3564242,-27460.3072832,293.591712208,63.99040032,0.467511791659
17500,-35863.8414032,-27365.3284776,292.163770945,63.99040032,0.467511791659
17550,-35823.8849557,-27273.9333696,293.932140675,63.99040032,0.467511791659
17600,-36028.2107091,-27346.654519,298.456473071,63.99040032,0.467511791659
17650,-36027.2515266,-27426.0800949,295.692987939,63.99040032,0.467511791659
17700,-35916.3475627,-27360.1365188,294.147329709,63.99040032,0.467511791659
17750,-35989.3958839,-27383.4028263,295.858746868,63.99040032,0.467511791659
17800,-35883.940798,-27309.8654409,294.761473045,63.99040032,0.467511791659
17850,-36021.4703894,-27418.6898294,295.74830691,63.99040032,0.467511791659
17900,-35958.6581071,-27223.2487196,300.307850293,63.99040032,0.467511791659
17950,-35884.2863749,-27194.7509955,298.73078342,63.99040032,0.467511791659
18000,-35823.8780446,-27293.5628859,293.257075198,63.99040032,0.467511791659
18050,-35813.6062231,-27186.9196566,296.570152928,63.99040032,0.467511791659
18100,-35934.1712046,-27189.294164,300.633331381,63.99040032,0.467511791659
18150,-35890.2649491,-27066.1040502,303.358969527,63.99040032,0.467511791659
18200,-35923.6803699,-27055.9777856,304.855855292,63.99040032,0.467511791659
18250,-35874.6085225,-27026.7326194,304.174249224,63.99040032,0.467511791659
18300,-36065.5505488,-27147.9057102,306.572781234,63.99040032,0.467511791659
18350,-36037.6803882,-27289.2253225,300.756337524,63.99040032,0.467511791659
